faculty,institution
"Johnson, Walter L.;Duke University;1963",University of Missouri
"Johnson-Lars, Shirley B.;Columbia University;1966",Vassar College
"Johnston, Jay;University of Houston;2002",Loyola University New Orleans
"Johnston-Wilson, Derek;University of Colorado;2000",Naval Postgraduate School
"Joiner, Harry;University of Kentucky;1971",Athens State University
"Jolly, Melvin G.;University of Idaho;1992",Geneva College
"Jones, Annette J.;University of Waikato;1996",University of Canterbury
"Jones, Chad;Massachusetts Institute of Technology;1993",Stanford University
"Jones, Charles;Utah State University;2002",Oregon Institute of Technology
"Jones, David D.;Indiana University;1975",University of St Thomas Minnesota
"Jones, Deborah K.;Kent State University;1996",Wayne State University
"Jones, Elizabeth H.;Indiana University;1988",Western Carolina University
"Jones, Frank;Stanford University;1971",San Jose State University
"Jones, Hester B.;Virginia Polytechnic Institute and State University",Saint Paul's College (Virginia)
"Jones, Lawrence;Saint Louis University;1979",Saint Louis University
"Jones, Marcia Noreen;University of Illinois;1986",Georgia Southern University
"Jones, Mingmei;Washington University in St. Louis;1999",Binghamton University
"Jones, Otolorin;Ohio University;1983",Empire State College
"Jones, Richard C.;Rutgers University;2001",Hofstra University
"Jones, Robert C. III;University of California, Los Angeles;1991",Northwestern State University of Louisiana
"Jones, Robert J.;Columbia University;1978",Skidmore College
"Jones, Robert;University of Notre Dame;1978",Western Michigan University
"Jones, Roberta Ann;University of Illinois;1996",California Polytechnic State University
"Jones, Royal Maurice;University of Maryland, College Park;1967",Western Carolina University
"Jones, Steven T.;University of Cincinnati;1997",Auburn University at Montgomery
"Jones, Warren;University of Iowa;1982",Western Illinois University
"Jones, William B.;Vanderbilt University;1965",Southwestern University
"Jonnard, Claude",Fairleigh Dickinson University
"Jonnard, Claude;New York University;1963",Fairleigh Dickinson University
"Jonokin, Jon;University of Tennessee;1994",Tennessee Technological University
"Joo, Inki;New York University;1986",Yonsei University
"Joray, Paul A.;University of Illinois;1971",Indiana University South Bend
"Jordan, Carol;University of Georgia;1991",Troy State University
"Jordan, Eleanor W.;University of Texas at Austin;1978",University of Texas at Austin
"Jordan, Win G.;Michigan State University;1996",Fort Hays State University
"Joshi, Mahesh P.;Temple University;1996",St. Joseph's University
"Joskowitz, David;Texas Tech University;1997",Texas A&M International University
"Joss, Robert L.;Stanford University;1970",Stanford University
"Jotz, V. Joseph;University of Wisconsin, Madison;1980","University of California, Los Angeles"
"Jozefowicz, Stephanie M.;Indiana University;1999",Indiana University of Pennsylvania
"Jozsa Jr., Frank P.;Georgia State University;1977",Pfeiffer University
"Jpaeglis, Imants;Boston College",Concordia University
"Jpaye, Bradley;University of California, San Diego;2004",Rice University
"Jula, Theodore F.;Massachusetts Institute of Technology;1967",Stonehill College
"Julian, Jack D.;University of Cincinnati;2002",Indiana University of Pennsylvania
"Jung, Maximilian;University of Graz;2001",University of Graz
"Jung, Min-Je;Florida State University;1989",University of Central Oklahoma
"Jurasek, Richard T.;Ohio State University;1975",Augustana College
"Jurasek, Richard T.;Ohio State University;1976",Augustana College
"Jurasek, Rick;Ohio State University;1975",Augustana College
"Jursa, Paul E.;University of Texas at Austin;1972",College of Charleston
"Juster, Arnold;Carnegie Mellon University;1994",Tulane University
"Kabir, MD Mahbabul;University of Nebraska;1998",Concordia College
"Kabir, Mahbabul;University of Nebraska;1998",Lyon College
"Kabis, Zeinhom M.;University of Illinois;1968",St. Ambrose University
"Kabuka, Solomon",University of the Virgin Islands
"Kadlec, Susan A.;University of Illinois;1995",Alma College
"Kahn, Daniel S.;Columbia University;1995",Georgetown University
"Kaiser, Marvin",Portland State University
"Kaivento, Kim;University of Warwick;2003",Lancaster University
"Kakoli, Philip K.;University of Niarobi;2001",Dallas Baptist University
"Kakoli, Philip;University of Niarobi;2001",Dallas Baptist University
"Kalogeras, Constantine;CUNY, Baruch College;1974",St. Thomas University
"Kamal, Lillian;West Virginia University;2005",Northwestern University
"Kamara, Israela;Columbia University;1992",University of Washington
"Kamazawa, Risa;University of Texas at Austin;2001",University of Mississippi
"Kamdar, Nipoli;Syracuse University;1993",Trinity University
"Kamnikar, Edward G.;University of Denver;1985","Troy State University, Montgomery"
"Kamniker, Judith A.;University of Denver;1982",Auburn University at Montgomery
"Kamoche, Kenneth;University of Oxford;1993",City University Hong Kong
"Kanbur, Sanjiv;University of Oxford;1981",Cornell University
"Kandiel, El-Sayed H. A.;CUNY, Baruch College;1985",SUNY Plattsburgh
"Kandiel, El-Sayed Hussein A.;CUNY, Baruch College;1985",SUNY Plattsburgh
"Kandiel, El-Sayed Hussein A;CUNY, Baruch College;1985",SUNY Plattsburgh
"Kaneda, Mitch;University of Pennsylvania;1994",Georgetown University
"Kaneda, Naoyuki;Carnegie Mellon University;2002",University of Tsukuba
"Kang, Ho-Young;Pusan;1991",Kyungpook National University
"Kang, Jospeh C. S.;Southern Methodist University;1991",Nanyang Technological University
"Kang, Keebom;Purdue University;1984",Naval Postgraduate School
"Kangayappan, Kumaraswamy;University of Wisconsin, Madison;1969","University of Wisconsin, Green Bay"
"Kanthi, Mahendra S.;University of Kentucky;1980",Saginaw Valley State University
"Kapadia, Nikung;New York University;1996",University of Massachusetts
"Kapinos, Kandice",St. Olaf College
"Kaplan, Phillip;Johns Hopkins University;1964",University of New Haven
"Kapoor, S.",London Metropolitan University
"Kapp, Joanne E.;Rensselaer Polytechnic Institute",Siena College
"Karaaslar, Mehmet;Washington State University;1991",Southwestern University
"Karangu, Mwangi;Walden;1981",Morgan State University
"Karanjia, Rohinton M.;University of North Carolina;1990",University of Notre Dame
"Karant, Yasha;University of California, Berkeley;1981","California State University, San Bernardino"
"Karaoglu, N. Emre;Northwestern University;2002",University of Toronto
"Karatjas, Nicholas;Stony Brook University;1976",Indiana University of Pennsylvania
"Karau, Stephen;Purdue University;1993",Southern Illinois University
"Karayaicin, Ali Cem;Columbia University;1989",Florida International University
"Karbassioon, Ebrahim;University of Nebraska;1981",Eastern Illinois University
"Kares, Peter;Purdue University;1968",University of South Florida
"Karim Eldin, Ahmed;Birmingham University;1985",King Saud University
"Karim, Alema;Boston University;1986",Rhode Island College
"Karlin, Arthur D.;University of Illinois;1964",University of Arkansas at Pine Bluff
"Karp, H. P.",Christopher Newport University
"Karscig, Mark P.;University of Pittsburgh;1987",University of Central Missouri
"Kascenska, John;North Carolina A&T State University;1998",Lyndon State College
"Kaschins, Edward A.;University of Iowa;1973",Luther College
"Kashefi, Javad;Claremont McKenna College;1981","California State Polytechnic University, Pomona"
"Kashefinejad, Javad;Claremont McKenna College;1981","California State Polytechnic University, Pomona"
"Kasibhatta, Krishna;Rutgers University;1984",Winston-Salem State University
"Kasiola, Joel;Princeton University;1974",San Francisco State University
"Kassner, Marcia;University of Illinois;1985",University of Guam
"Kattelus, Susan C.;Michigan State University;1990",Eastern Michigan University
"Katter, Norm;University of Queensland",Queensland University of Technology
"Katz, Joseph L.;Louisiana State University;1978",Georgia State University
"Katz, Rachelle;Stanford University;1980",Loyola Marymount University
"Kauffman, Daniel E.;University of Nebraska;1980",Winona State University
"Kaufman, Jerry M.;Oklahoma State University;1974",Southwestern Oklahoma State University
"Kauper, David;University of California, Riverside;2006",Central College (Iowa)
"Kaus, Cheryl R.;Pennsylvania State University;1995",Stockton University
"Kavanagh, Michael J.;Iowa State University;1969",University at Albany
"Kavanaugh, Jo;Louisiana State University;1986",Sam Houston University
"Kavussanos, Emmanmuil;City, University of London;1993",Athens University of Economics and Business
"Kavussanos, Emmanuel;City, University of London;1993",Athens University of Economics and Business
"Kayaalp, Orhan;CUNY;1984","CUNY, Lehman College"
"Kayalir, Resad;Istanbul;1976",Bogazici University
"Kaye, Ellen;George Washington University",Alliant International University
"Kayed, Metwaly;University of Hull;1990",Kuwait University
"Kaylor, Norman R.;University of Mississippi;1971",University of North Carolina Wilmington
"Kazenski, Paul M.;Georgia State University;1992",University of Hawaii
"Kazmer, Daniel R.;Massachusetts Institute of Technology;1973",Georgetown University
"Kearns, Francis E.;University at Buffalo;1986",Rochester Institute of Technology
"Keating, Patrick J.;Pennsylvania State University;1990",San Jose State University
"Keck, John T.;Georgia State University;1977",University of Guam
"Keck, John;Georgia State University;1977",University of Guam
"Keefe, David E.;University of California, Berkeley;1980",University of the Pacific
"Keele, Robert;1960",University of the South
"Keen, Marvin A.;Florida State University;2004",Coastal Carolina University
"Keener, Gary W.;University of Kentucky;1993",Heidelberg College
"Keener, Gary;University of Kentucky;1993",Heidelberg College
"Keenes, John",Pace University
"Keim, Mary K.;Carnegie Mellon University;1998","California State University, San Marcos"
"Keim, Paul;Harvard University",Goshen College
"Keim, Robert T.;University of Pittsburgh;1976",Arizona State University
"Kein, Paul;Harvard University",Goshen College
"Keinath, Annemarie K.;Michigan State University;1989",Indiana University Northwest
"Keiser, Lawrence A.;University of Cincinnati;1975",Cleveland State University
"Keith, Robert M.;University of Alabama;1969",University of South Dakota
"Keithley, John P.;University of Missouri;1972",Saint Louis University
"Keleta, Ethiopia;Rice University;1984",Texas Southern University
"Keleta, Ghebre;Colorado State University",Grambling State University
"Keller, Carl E.;University of Tennessee;1997",Coastal Carolina University
"Keller, Peter",Mansfield University of Pennsylvania
"Kelley, Donald E.;University of South Carolina;1978",Francis Marion University
"Kelley, Timothy;University of Houston;1984",University of San Diego
"Kellner, Rochelle;University of California, Los Angeles;1985","California State Polytechnic University, Pomona"
"Kelly, Alfred B.;University of Kentucky;1974",Northwest Missouri State University
"Kelly, Frederick J.;Columbia University;1974",Roger Williams University
"Kelly, Fredrick J.;Columbia University;1974",Monmouth University
"Kelly, James;University of Maryland, College Park;1990",University of Colorado
"Kelly, Louise;Concordia University;1996",Northeastern University
"Kelly, Michael;Carleton University;1986",University of Ottawa
"Kelly, Robert A.;Georgetown University;1971",Fairfield University
"Kelsey, Richard L.;University of Washington;1979",Nova Southeastern University
"Kelsy, Michael;University of Tennessee;1991",University of Missouri–Kansas City
"Kelting, William R.;University of Arkansas;1987",SUNY Plattsburgh
"Kemal, Gursby;Rutgers University",Long Island University
"Kemegue, Francis;2005",Bryant College
"Kempey, William M.;New York University;1970",Kean University
"Kempner, Ken;University of Oregon;1979",Southern Oregon University
"Kendig, Nancy;Saint Louis University;1999",University of North Dakota
"Kenis, Izzet;New York University;1974",Rutgers University
"Kenison, Arthur M.;Boston University;1980",Saint Anselm College
"Kennedy, Jessica;University of Queensland;1997",University of Queensland
"Kennedy, Valerie E.;Cornell University;1995",Eastern Connecticut State University
"Kenny, Peppi Michelle;Oklahoma State University;1993",Western Illinois University
"Kenyon, Peter B.;Santa Clara University;1985",Humboldt State University
"Kerber, Paul;University of Iowa;1975",University of Kansas
"Kercsmar, John;University of Houston;1985",East Stroudsburg University of Pennsylvania
"Kermis, George F.;Syracuse University;1982",Canisius College
"Kerns, Richard L.;University of Virginia;1972",East Carolina University
"Kerr, Halbert S.;University of Washington;1976",Washington State University
"Kersey, Bruce L.;Louisiana State University;1970",Texas A&M University–Commerce
"Kershaw, Russell;University of South Carolina;1996",Butler University
"Kersten, Timothy W.;University of Oregon;1973",California Polytechnic State University
"Kesler, David W.;University of Wisconsin, Milwaukee;1998",Winona State University
"Kessel, Herbert;Boston University;1981",Saint Michael's College
"Kessler, Alan L.;Boston College;1984",Providence College
"Kessler, Herbert L.",Johns Hopkins University
"Ketler, Bruce W.;Am Comm;1988",Grove City College
"Khade, Alan;University of Houston;1990","California State University, Stanislaus"
"Khalil, Mohamad;West Virginia University;1988",Fairmont State College
"Khamalah, Joe;University of Waterloo;1998",Purdue University Fort Wayne
"Khan, Agha Nisar;Virginia Polytechnic Institute and State University;1970",Virginia State University
"Khan, Agha;Virginia Polytechnic Institute and State University;1970",Virginia State University
"Khan, Israr;Kanpur;1985",King Fahd University of Petroleum & Minerals
"Khan, Mohiuddin M. (Moosa);Simon Fraser University;1986",Prairie View A&M University
"Khan, S.;University of Manchester;1995",Bangor University
"Khandekar, Rajendra;University of Kansas;1983",Metropolitan State University of Denver
"Kharadia, Virabhai C.;University of Illinois;1973",Northwest Missouri State University
"Kholdy-Sabety, Shady;University of California, Santa Barbara;1984","California State Polytechnic University, Pomona"
"Khorassani, Jacqueline;West Virginia University;1997",Marietta College
"Kiani-Aslani, Rajabali;University of Oklahoma;1975","California State University, Northridge"
"Kidane, Abraham Z.;University of California, Los Angeles;1971","California State University, Dominguez Hills"
"Kidman, Peter N.;West Virginia University;1971",East Stroudsburg University of Pennsylvania
"Kidney, James A.;University of California, Los Angeles;1986",Southern Connecticut State University
"Kieffer, Rene;Paris I;1972",ESCP Business School
"Kiehl, Sandra;Portland State University;1988",Linfield College
"Kiehl, Sandra;Portland State University;1989",Linfield College
"Kiel, Mark;University of Georgia;1978",North Carolina A&T State University
"Kiernan, Joseph J.;Fordham University;1980",Fairleigh Dickinson University
"Kight, Hilary",Wesleyan College
"Kilenthong, Tee;University of Chicago","University of California, Santa Barbara"
"Kilgore, Ronald W.;University of Mississippi;1974","University of Tennessee, Martin"
"Kilgour, John G.;Cornell University;1972","California State University, East Bay"
"Kilpatrick, Donna J.;University of Washington;1997",University of Alaska Fairbanks
"Kim, An-Gyu;Seogang;1996",Chosun University
"Kim, Beomsoo;University of Maryland, College Park;2006","University of North Carolina, Greensboro"
"Kim, Gew-Rae;CUNY;1992",University of Bridgeport
"Kim, Han J.;Oregon State University;1969",South Dakota State University
"Kim, Jeong;University of South Carolina;1999",University of South Carolina Aiken
"Kim, Jong H.;University of Missouri;1988","California State University, Sacramento"
"Kim, Jongchai (Jay);Georgia State University;1997",Central Michigan University
"Kim, Juho;University of Oklahoma;1973",Mississippi Valley State University
"Kim, Jun;University of Memphis;1993","CUNY, Hunter College"
"Kim, Jung-Shik;Chung-Ang University;1982",Chung-Ang University
"Kim, Kil-Cho;Korea University;1980",Chung-Ang University
"Kim, Kil-Joong;University of Cincinnati;1980",Austin Peay State University
"Kim, Kil-Joony;University of Cincinnati;1980",Austin Peay State University
"Kim, Kirk Y.;University of Utah;1970","University of Wisconsin, Whitewater"
"Kim, Kwang-Yoon;Korea University;1990",Ajou University
"Kim, Neung-Jip;Temple University;1987","California State University, Los Angeles"
"Kim, Sang;Pennsylvania State University;1995",Hood College
"Kim, Seung Yong;Junnam;1990",Chosun University
"Kim, Song-Ki;University of Texas at Austin;1979",Seoul National University
"Kim, Wheegook;Catholic University of America;1990",Southeastern University
"Kim, Yeong-Chung;Pusan;1982",Dongguk University
"Kim, Yong Jin;London School of Economics and Political Science;2003",University of Southern California
"Kim, Young Jin;Rutgers University;1996",Long Island University
"Kim, Young Se;Ohio State University;2004",University of North Texas
"Kimball, Chris;University of Chicago",Augsburg University
"Kimball, William L.;Northwestern University;1967","California State University, Northridge"
"Kimenyi, Samson M.;George Mason University;1986",University of Connecticut
"Kimory, Kathryn;University of Oklahoma;1998",Kansas State University
"Kimzey, Bruce W.;Washington State University;1970","Brigham Young University, Hawaii"
"Kincard, Joel;North Carolina A&T State University;1999",Salisbury University
"King, Chin-Ping;National Chengchi University;2003",Providence University
"King, Elizabeth G.;University of Missouri;1978",St. Norbert College
"King, J. William (Bill);Florida State University;1986",Washington & Lee University
"King, J. William;Florida State University;1986",Washington & Lee University
"King, James R. Jr.;University of Texas, Arlington;1988",University of Mary Hardin-Baylor
"King, James R.;University of Texas, Arlington;1988",University of Mary Hardin-Baylor
"King, Jeanne;Claremont McKenna College;1992","California State University, San Bernardino"
"King, Jerry G.;University of Mississippi;1975",University of Southern Mississippi
"King, Joseph E.;University of Illinois;1971",Texas Tech University
"King, Jules E.;Stanford University;1985",University of Arkansas at Pine Bluff
"King, Mary;University of Washington;1983",University of Alaska Southeast
"King, Roger;Texas Tech University;1969",University of Southern Mississippi
"King, Teresa T.;Georgia State University;1989",Wesleyan College
"King, Thomas E.;University of California, Los Angeles;1973",Southern Illinois University Edwardsville
"Kinslinger, Howard J.;Purdue University;1966",Bloomsburg University of Pennsylvania
"Kiran, Chatucvedi;NDT Women's University",Long Island University
"Kirchner, Mary;University of Tennessee;1998",Methodist College
"Kirher, Philipp;University of Bonn;2006",University of Pennsylvania
"Kirk, Eugene F.;Boston College;1974",St. Bonaventure University
"Kirk, Eugene;Boston College;1973",St. Bonaventure University
"Kirkland, Jack;Washington State University;1982",Troy State University
"Kirkpatrick, Rickey C.;Tulane University;1978",Appalachian State University
"Kiss, Robert;Kent State University;1990",Eastern Michigan University
"Kitchin, Patty;Virginia Polytechnic Institute and State University;1997",Virginia Polytechnic Institute and State University
"Kitsbunnarat, Pattanaporn",Texas A&M International University
"Kitsul, Yuriy;University of North Carolina;2005",Georgia State University
"Kittel, Phyllis;Illinois Institute of Technology;1975",Benedictine University
"Kjetsaa, Richard W.;Fordham University;1985",Fairleigh Dickinson University
"Klaassen, Jan;Free University Amsterdam;1975",Free University Amsterdam
"Klauser, Jack E.;New York University;1977",Chaminade University
"Klay, Robin;Princeton University;1973",Hope College
"Kleen, Penny;University of Missouri;1996",Quincy University
"Klein, Esther;CUNY","CUNY, College of Staten Island"
"Klein, James;University of Cincinnati;1981","California State University, Stanislaus"
"Klein, Judy L.;University of London;1986",Mary Baldwin University
"Klein, Nicole L.;Kansas State University;1996",South Dakota State University
"Kleindl, Brad;Oklahoma State University;1995",Missouri Southern State University
"Kleiner, William C.;Michigan State University;1974",Western Illinois University
"Kleinman, David C.;University of Chicago;1977",University of Chicago
"Kleinman, David T.;Ohio State University;1953",Fordham University
"Kleinstein, Arnold D.;Columbia University;1970",New York Institute of Technology
"Klemstine, Charles F.;University of Michigan;1991",University of Michigan
"Kleniewski, Nancy",University of Massachusetts
"Klimek, Janice L.;University of Nebraska;1996",Missouri Western State University
"Kliorys, Constantine K.;Kent State University;1978",Gannon University
"Klocke, Ronald A.;Washington State University;1973","Minnesota State University, Mankato"
"Kloft, Leonard;University of Iowa;1995",Ohio Northern University
"Klosky, J. Michael;Clemson University;1975","California State Polytechnic University, Pomona"
"Klotz, Benjamin P.;University of Minnesota;1969",Temple University
"Knapp, Kimberly A.;Brown University;1988","University of Maryland, Baltimore County"
"Knappenberger, John;University of Colorado;1985",Mesa State College
"Knight, Lee G.;University of Alabama;1981",Wake Forest University
"Knight, Tori H.",Carson-Newman College
"Knighton, Daniel R.;University of North Carolina;1973",Minnesota State University Moorhead
"Knights, Ronald;University of New Mexico;1976",Metropolitan State University of Denver
"Knittle, Christopher;University of California, Berkeley;1999",Boston University
"Knoble, Dale T.;Northwestern University;1975",Southwestern University
"Knott, Ann Marie;University of California, Los Angeles;1996",University of Pennsylvania
"Knowles, Glenn J.;University of Minnesota;1980","University of Wisconsin, La Crosse"
"Knowles, Joel B.;University of Oregon;1976","California State University, Sacramento"
"Knude, Swensen;University of Illinois;1987",Dickinson State University
"Knudsen, James J.;Iowa State University;1989",Creighton University
"Knudson, Harry;Harvard University;1958",University of Washington
"Kobos, Chester;Fordham University;1972",Marist College
"Koch, Susan R.;University of Alabama;1993",Austin Peay State University
"Kochanek, Richard Frank;University of Missouri;1972",University of Connecticut
"Koehler, Robert W.;Michigan State University;1967",Pennsylvania State University
"Koen, Sandra;Athens State University;2001",Athens University of Economics and Business
"Koenigsberg, Robin;University of Colorado;2000",Regis University
"Koepke, Gene;Colorado State University;1972",University of Nebraska at Kearney
"Koeplin, John P. S.J.;University of North Texas;1998",University of San Francisco
"Koeva, Stefka;Varna;1980",Gettysburg College
"Koh, Khoon",Mesa State College
"Koh, Sung Sam;Inha University;1999",Chung-Ang University
"Koh, Sung Sam;University of Hawaii;1999",Chung-Ang University
"Kohls, Heather;University of Wisconsin, Milwaukee",Marquette University
"Kohn, Johnathan W.;New York University;1972",Shippensburg University
"Kolb, Robert W.;University of North Carolina;1978",University of Colorado
"Koller, Roland H.;University of Wisconsin, Madison;1969",Brigham Young University
"Komagai, Tomomi;Massachusetts Institute of Technology;2001",Wayne State University
"Konan, Martin;Boston College;1990",Boston College
"Kondeas, Alexander G.;Auburn University;1998",Greensboro College
"Kondeas, Alexander G.;Auburn University;1999",Greensboro College
"Kondrasuk, John N.;University of Minnesota;1972",University of Portland
"Kong, Chang Min;University of Wisconsin, Milwaukee;1977",Towson University
"Kong, Xiafei (Sophie);Florida State University;2003",Kansas State University
"Kongar, Ellu;University of Utah;2003",Dickinson College
"Konstantinov, Vassil;Harvard University;1999",University of Wyoming
"Konz SJ, Rev Gregory N.P.;Saint Louis University;1998",John Carroll University
"Konz, Jeffery M.;University of North Carolina;1994",University of North Carolina at Asheville
"Konzelmann, Suzanne;University of Notre Dame;1991",Indiana University South Bend
"Koo, Anthony Y.;Harvard University;1946",Florida State University
"Kool, Krishna L.;University of Tennessee;1976",University of Rio Grande
"Kooti, John G.;Michigan State University;1980",Georgia Southwestern State University
"Kopczynski, Frank;Union College;1993",Plymouth State University
"Korbach, Robert J.;University of Maryland, College Park;1973",University of North Dakota
"Korf, Fred;Columbia University;1953",Alliant International University
"Korman, Abraham K.;University of Minnesota;1962","CUNY, Baruch College"
"Korte, Leon;University of Nebraska;1992",University of South Dakota
"Korvel, George;University of Colorado;1979",University of St Thomas Minnesota
"Koskowitz, David;Texas Tech University;1997",Texas A&M University–Corpus Christi
"Kosteas, Billy D.;Ohio State University;2003",Cleveland State University
"Kothapa, Julu;Andhra University;1988",Morris Brown College
"Kottukapalli, Joseph A.;Universite de Montreal;1966",University of Dallas
"Kousay, Said;Mustanser;1995",University of Sharjah
"Kouskoulas, Barbara A.;Wayne State University;1971",Lawrence Technological University
"Kouskoulas, Barbara;Wayne State University;1971",Lawrence Technological University
"Koutoulas, George;Concordia University",University of Lethbridge
"Koutoulas, George;Concordia University;1993",University of Lethbridge
"Kowal, Lubomyr M.;University of Illinois;1965",University of Michigan
"Kowalczyk, Stan J.;University of California, Berkeley;1976",San Francisco State University
"Kown, Illoong;Harvard University;1999",University at Albany
"Kown, Soon-Chul;Hanyang University;1985",Kyungpook National University
"Koymen, Oya;University of Strathclyde;1967",Bogazici University
"Kozbert, Anthony;New York University;2001","CUNY, Baruch College"
"Koziol, Natasha;University of Copenhagen",University of Windsor
"Kpakol, Magnus L.;University of Texas, Dallas;1988",University of Dallas
"Kpakol, Mahnus L.;University of Texas, Dallas;1988",University of Dallas
"Krabbenhoft, Alan;Wayne State University;1994",Roosevelt University
"Kraft, Arthur;University at Buffalo;1970",DePaul University
"Krajewski, Lorraine;Arizona State University;1979","Louisiana State University, Shrevenport"
"Krall, Mary Elyse;University of Utah;1989",SUNY Cortland
"Kramer, John L.;University of Michigan;1975",University of Florida
"Kranowski, Nathan J.;Columbia University;1966",Radford University
"Krause, Paul;University of Oklahoma;1974","California State University, Chico"
"Krawczyk, Katherine A.;University of Texas at Austin;1992",North Carolina State University
"Kreft, Steven;West Virginia University;2003",Indiana University
"Kreinik, Arlene;New York University",Western Connecticut State University
"Kreitzer, Joseph L.;University of Iowa;1983",University of St Thomas Minnesota
"Kressler, Peter;University of Pennsylvania;1968",Rowan University
"Kretovich, Duncan J.;Michigan State University;1985",Eastern Michigan University
"Krienke, Albert B.;Texas A&M University;1967",Midwestern State University
"Krier, Donald F.;Boston College;1969",Framingham State College
"Krishnamurthy, Srini;Tulane University;1998",Binghamton University
"Krishnan, Gopal V.;University of North Texas;1986",City University Hong Kong
"Krishnan, Rajaram;Boston University;1997",Earlham College
"Krishnan, Vish;Massachusetts Institute of Technology;1993",University of Texas at Austin
"Krishnaswami, Sudha;Texas A&M University;1996",University of New Orleans
"Kristjanson-Gurat, David;University of Massachusetts;1999",Bucknell University
"Krueger, Dale;University of Missouri–Kansas City",Missouri Western State University
"Krueger, Mark K.;University of Illinois;1989",Murdoch University
"Krumwiede, Timothy G.;Texas Tech University;1993",Bryant College
"Kruse, Tim;Purdue University;1997",Loyola University Chicago
"Kucukkaya, Engin;University of Florida;2000",St. John's University
"Kudar, Randolph P. (Randy);University of Western Ontario;1978",University of Western Ontario
"Kudar, Randolph P.;University of Western Ontario;1978",University of Western Ontario
"Kuechler, Linda J.;University at Buffalo;1996",Daemen College
"Kuester, Dan;University of Missouri;2000",University of Arkansas
"Kuforiji, John;University of Pittsburgh;1987",Albany State University
"Kuforiji, Oluseyi;University of Pittsburgh;1987",Tuskegee University
"Kuhlman, Bruce R.;University of Florida;1988",University of Toledo
"Kuijl, Hans;Leiden University;1990",Maastricht University
"Kulisch, William A.;University of Colorado;1976",University of the Pacific
"Kullman, Cornelia;Columbia University",University of British Columbia
"Kulsrud, William N.;University of Texas at Austin;1980",Indiana University-Purdue University Indianapolis
"Kumar, Ashok;Purdue University;1990",Grand Valley State University
"Kunpanitchakit, Danuja;University of Wisconsin, Madison;1983",Chulalongkorn University
"Kuntz, Dale F.;University of Connecticut;1979",Bentley College
"Kupilik, Michael H.;University of Colorado;1976",University of Montana
"Kurish, J. B.;University of Illinois;1983","University of Illinois, Chicago"
"Kuruvilla, Mohan;University of Houston;1994",Houston Baptist University
"Kushel, Paul S.;University of Texas at Austin;1981",Fordham University
"Kushner, Joseph W.;University of Tennessee;1969",Valdosta State University
"Kuthans, Kyle;University of Nebraska;1999",University of Nebraska at Kearney
"Kuzmicki, Jana;University of Alabama;1993",Indiana University Southeast
"Kwak, NoKyoon;University of Southern California;1964",Saint Louis University
"Kwan, S. H. M.;University of North Carolina;1979",University of Hong Kong
"Kwon, Chan-Tae;Pusan;1985",Kyungpook National University
"Kwon, Sun-Kook;University of Oklahoma;1989",Kyungpook National University
"Kylakoski, Kalevi;HSE;1981",Helsinki School of Economics
"Kylakoski, Kalevi;HSEBA;1981",Helsinki School of Economics
"Kyle, Alfred S. (Pete);University of Chicago;1981",Duke University
"Kyongwook, Choi;University of Washington;2002",Ohio University
"Kypralos, Harry N.;University of Virginia;1987",Rollins College
"La Near, Richard E.;University of Mississippi;1979",Missouri Southern State University
"La Tourette, John E.;Rutgers University;1962",Northern Illinois University
"LaBarre, James E.;University of North Dakota;1972","University of Wisconsin, Eau Claire"
"LaKehal-Ayet, Merovane;University of Denver;1989",St. John Fisher College
"LaLumia, Sara;University of Michigan;2006",College of William & Mary
"LaNear, Richard E.;University of Mississippi;1979",Missouri Southern State University
"LaPlant, Doug;Iowa State University;1984",Dickinson State University
"LaPlante, Doug;Iowa State University;1984",Dickinson State University
"LaRoe, Ross M.;American College;1982",Denison University
"LaRue, David W.;University of Houston;1984",University of Virginia
"Lacewell, Steve;Mississippi State University;2001",Murray State University
"Lacour, Pierre;The New School;2004",SUNY New Paltz
"Lacy, Bud;University of Colorado;1983",Oklahoma State University
"Lacy, Gwynette P.;University of Wisconsin, Madison;1979",Howard University
"Lacy, Jo Y.;George Washington University;2002",University of Central Florida
"Lai, Choon-Shan;Purdue University;2002",University of Southern Indiana
"Lai, Kent W.;Arizona State University;1995",Lingnan University
"Laiken, Stanley N.;University of Western Ontario;1972",University of Waterloo
"Laird, Thomas;University of Miami;1977",Florida Atlantic University
"Laird-Muriente, Carlos F.;University of Massachusetts",Central Connecticut State University
"Lake, Gashaw W.;University of Oklahoma",Kentucky State University
"Lake, Gashaw;University of Oklahoma",Kentucky State University
"Lakehal-Ayat, Merouane;University of Denver;1989",St. John Fisher College
"Lakew, Melaku;University of California, Riverside;1981",Stockton University
"Lam, K. F. Bruce",City University Hong Kong
"Lam, Wai P.;Michigan State University;1974",University of Windsor
"Lambert, Joyce C.;Louisiana State University;1973",University of New Orleans
"Lambert, S. Joseph III;Louisiana State University;1973",University of New Orleans
"Lamberton, Charles E.;Iowa State University;1975",South Dakota State University
"Lamone, Rudolph P.;University of North Carolina;1966","University of Maryland, College Park"
"Lamping, Jennifer;Columbia University;2005",University of Colorado
"Lamson, George H.;Northwestern University;1971",Carleton University
"Lancaster, Kelvin;University of London;1958",Columbia University
"Landgana, Farrokh",Rutgers University
"Landgana, Farrokh;Virginia Polytechnic Institute and State University;1987",Rutgers University
