dep,name,rank,area,degree,grad_year,school,since,annotation
American University,"Feinberg, Robert M.",Prof,L,PHD,76,Virginia,1989,
American University,"Golan, Amos",Prof,OC,PHD,88,Berkeley,1996,
American University,"Hahnel, Robin E.",Prof,B,PHD,79,American,1976,
American University,"Lerman, Robert I.",Prof,JI,PHD,70,MIT,1989,
American University,"Muller, Ronald E.",Prof,F,PHD,,American,1970,
American University,"Wachtel, Howard M.",Prof,,PHD,69,Michigan,1969,
American University,"Wisman, Jon D.",Prof,B,PHD,74,American,1971,
American University,"Ayittey, George B. N.",VAsoc,O,PHD,81,Manitoba,1994,
American University,"Floro, Maria Sagrario",Assoc,OGDQ,PHD,87,Stanford,1988,
American University,"Hazilla, Michael",Assoc,C,PHD,78,SUNY-Bin,1988,
American University,"Husted, Thomas A.",Assoc,HI,PHD,86,N Carol,1986,
American University,"Isaac, Alan G.",Assoc,FE,PHD,86,Ca-Davis,1987,
American University,"Meurs, Mieke E.",Assoc,PO,PHD,88,Mass,1989,
American University,"Park, Walter G.",Assoc,LF,PHD,91,Yale,1991,
American University,"Willoughby, John A.",Assoc,N,PHD,79,Berkeley,1979,
American University,"Catilina, Eliane",Asst,D,PHD,1,London,2002,
American University,"Hansen, Mary",Asst,JN,PHD,91,Illinois,2002,
American University,"Hertz, Thomas",Asst,JC,PHD,1,Mass,2002,
American University,"Olson, Kara",Asst,F,PHD,3,Virginia,2003,
American University,"Starr, Martha",Asst,E,PHD,92,Boston U,2003,
American International Coll,"Orcutt, Bonnie",C-Ac,ADJH,PHD,93,Clark,1992,
American International Coll,"Smolowitz, Ira E.",Prof,,PHD,84,Rensselaer,1988,"Director, Center for Economic Education; Dean, Bureau of Business Research"
Amherst College,"Woglom, Geoffrey R.",C-Pr,AEG,PHD,74,Yale,1978,Richard S. Volpergt '56 Professor in Economics
Amherst College,"Barbezat, Daniel P.",Prof,ANO,PHD,88,Illinois,1988,
Amherst College,"Beals, Ralph E.",Emer,ACO,PHD,70,MIT,1966,Clarence Francis Professor of Economics
Amherst College,"Kohler, Heinz",Emer,APCD,PHD,61,Michigan,1961,Willard Long Thorp Professor of Economics
Amherst College,"Nicholson, Walter E.",Prof,ACDK,PHD,70,MIT,1968,"Ward H. Patton, Jr. Professor of Economics"
Amherst College,"Westhoff, Frank H.",Prof,ADHC,PHD,74,Yale,1973,
Amherst College,"Yarbrough, Beth V.",Prof,ADF,PHD,83,U Wash,1982,Willard Long Thorp Professor of Economics
Amherst College,"Perkins, George M.",VAssc,AGH,PHD,77,Boston C,2002,
Amherst College,"Rivkin, Steven G.",Assoc,AIJ,PHD,91,UCLA,1993,
Amherst College,"Board, Oliver",VAsst,ADL,PHD,3,Oxford,2003,
Amherst College,"Kingston, Christopher G.",Asst,AFOP,PHD,1,Stanford,2001,
Amherst College,"Reyes, Jessica W.",Asst,AHIJ,PHD,2,Harvard,2002,
Anderson University,"Truitt, Terry C.",Dean,G,DBA,96,Miss St,1995,
Anderson University,"Ritchey, Barry",Prof,DHR,PHD,88,Syracuse,1991,
Anderson University,"Heberling, Gregory Dean",Assoc,,MBA,,Ball St,1978,
Anderson University,"Saunders, Kent T.",Assoc,ADG,PHD,95,Clemson,2001,
Andrews University,"Gibson, Ann",Dean,Atg,PHD,92,Wash St,1992,
Andrews University,"Gashugi, Leonard K.",C-Ac,CF,PHD,92,Boston U,1979,
Andrews University,"Chuah, Sam",Prof,CD,PHD,92,Wash St,1998,
Angelo State University,"Butler, Michael W.",Dean,P,PHD,74,Arkansas,2001,
Angelo State University,"Bankston, Thomas",H-Pr,Fin,PHD,75,Florida,1976,
Angelo State University,"Dane, Andrew J.",Prof,A,PHD,75,Oklahoma,1973,
Angelo State University,"Maddox, D. Pat",Assoc,AP,PHD,82,Tx Tech,1988,
Angelo State University,"Husein, Jamal",Asst,PI,PHD,98,Utah St,2002,
Angelo State University,"Kara, S. Murat",Asst,AM,PHD,93,Tx Tech,2000,
Appalachian State Univ,"Schoenfeldt, Lyle",Dean$,,,,,,
Appalachian State Univ,"Schieren, George A.",C-Pr,CDE,PHD,75,N Carol,1977,
Appalachian State Univ,"Combs, J. Paul",Prof,MR,PHD,73,N Car St,1971,
Appalachian State Univ,"Courbois, Jean-Pierre",Prof,F,PHD,68,American,1968,
Appalachian State Univ,"Ellis, Larry V.",Prof,E,PHD,78,Missouri,1978,
Appalachian State Univ,"Gaynor, Patricia E.",Prof,C,PHD,73,U Miami,1976,
Appalachian State Univ,"Millsaps, Steven",Prof,CDQ,PHD,73,N Car St,1973,
Appalachian State Univ,"Perri, Timothy J.",Prof,DJ,PHD,78,Ohio St,1980,
Appalachian State Univ,"Cherry, Todd",Assoc,DQ,PHD,98,Wyoming,2001,
Appalachian State Univ,"Groothuis, Peter A.",Assoc,DF,PHD,89,Kentucky,2002,
Appalachian State Univ,"McRae, Larry T.",Assoc,CDE,PHD,78,N Carol,1977,
Appalachian State Univ,"Dawson, John",Asst,E,PHD,97,N Car St,2000,
Appalachian State Univ,"Frykblom, Peter",Asst,CDQ,PHD,99,Swedish U,2002,
Appalachian State Univ,"Maske, Kellie",Asst,DF,PHD,98,N Carol,2000,
Aquinas College,"Beversluis, Eric H.",C-Ac,,PHD,70,Nrthwstrn,1988,
Aquinas College,"Chaffee, Donald M. Jr.",Prof,,PHD,70,Ca-Davis,1992,
Aquinas College,"Robertson, Gary L.",Assoc,,MA,,Detroit,1969,
Aquinas College,"Yamazaki, Masato",Asst,,PHD,84,Duke,1987,
Arcadia University,"Biggs, William D.",C-Pr,Mgt,PHD,74,Penn St,8-80,
Arcadia University,"Morra, Wayne A.",Assoc,ALR,PHD,84,Temple,8-81,
Arcadia University,"Palugod, Paul",Asst,AFM,PHD,93,Pittsburgh,9-99,
University of Arizona,"Zupan, Mark",Dean,,PHD,87,MIT,1996,
University of Arizona,"Walker, Mark A.",H-Pr,,PHD,70,Purdue,1990,Eller Professor of Economics
University of Arizona,"Block, Michael K.",Prof,,PHD,72,Stanford,1981,
University of Arizona,"Cox, James C.",Prof,,PHD,71,Harvard,1977,Arizona Public Service Professor and ESL Distinguished Scholar
University of Arizona,"Dufenberg, Martin",Prof,,PHD,95,Uppsala,2003,
University of Arizona,"Fishback, Price V.",Prof,,PHD,83,U Wash,1990,Frank and Clara Kramer Professor
University of Arizona,"Kantor, Shawn E.",Prof,,PHD,90,Cal Tech,1990,
University of Arizona,"Libecap, Gary D.",Prof,,PHD,76,Penn,1984,Director Karl Eller Center
University of Arizona,"Marshall, Robert H.",Emer,,PHD,57,Ohio St,1957,
University of Arizona,"Oaxaca, Ronald L.",Prof,,PHD,71,Princeton,1976,McCelland Professor
University of Arizona,"Reynolds, Stanley S.",Prof,,PHD,83,Nrthwstrn,1982,"SRP Professor of Technology, Public Policy and Markets"
University of Arizona,"Rieber, Michael",Emer,,PHD,63,MIT,1978,
University of Arizona,"Smith, Kenneth R.",Prof,,PHD,68,Nrthwstrn,1980,Eller Distinguished Service Professor
University of Arizona,"Swanson, Gerald",Prof,,PHD,72,Illinois,1970,
University of Arizona,"Taylor, Lester D.",Prof,,PHD,63,Harvard,1972,
University of Arizona,"Wells, Donald A.",Emer,,PHD,61,Oregon,1969,
University of Arizona,"Zajac, Edward E.",Emer,,PHD,54,Stanford,1983,
University of Arizona,"Ackerberg, Daniel",Assoc,,PHD,97,Yale,2003,
University of Arizona,"Drabicki, John Z.",Assoc,,PHD,73,Purdue,1970,
University of Arizona,"Heckerman, Donald G.",Assoc,,PHD,67,MIT,1971,
University of Arizona,"McBearty, James C.",Assoc,,PHD,68,Illinois,1968,
University of Arizona,"Reiley, David",Assoc,,PHD,96,MIT,2001,
University of Arizona,"Wooders, John C.",Assoc,,PHD,91,Cornell,1991,Eller Fellow in Economics
University of Arizona,"Crawford, Gregory",Asst,CL,PHD,98,Stanford,2002,
University of Arizona,"Flores-Lagunes, Alfonso",Asst,,PHD,1,Ohio St,2001,
University of Arizona,"Sundaram, Ramya",Asst,,PHD,1,Penn,2001,
Arizona State University,"Blakemore, Arthur E.",C-Pr,,PHD,77,S Illinois,1979,
Arizona State University,"Boyes, William J.",Prof,,PHD,74,Claremont,1969,
Arizona State University,"Brada, Josef C.",Prof,,PHD,71,Minnesota,1978,
Arizona State University,"Burgess, Paul L.",Prof,,PHD,69,Colorado,1969,
Arizona State University,"DeSerpa, Allan C.",Prof,,PHD,70,Ca-SnBarb,1975,
Arizona State University,"Faith, Roger L.",Prof,,PHD,73,UCLA,1981,
Arizona State University,"Gooding, Elmer R.",Prof,,PHD,69,Kansas,1988,
Arizona State University,"Happel, Stephen K.",Prof,,PHD,76,Duke,1975,
Arizona State University,"Hoffman, Dennis L.",Prof,,PHD,78,Mich St,1979,Associate Dean
Arizona State University,"Hogan, Timothy D.",Prof,,PHD,71,Va Tech,1970,Director of Center for Business Research
Arizona State University,"Kingston, Jerry L.",Prof,,PHD,69,Penn St,1969,
Arizona State University,"Low, Stuart A.",Prof,,PHD,79,Illinois,1979,
Arizona State University,"Manelli, Alejandro",Prof,,PHD,88,Berkeley,1997,
Arizona State University,"McDowell, John M.",Prof,,PHD,79,UCLA,1978,
Arizona State University,"McPheters, Lee R.",Prof,,PHD,72,Va Tech,1976,"Associate Dean, Graduate Program"
Arizona State University,"Melvin, Michael T.",Prof,,PHD,80,UCLA,1980,
Arizona State University,"Mendez, Jose A.",Prof,,PHD,80,So Meth,1980,
Arizona State University,"Ormiston, Michael B.",Prof,,PHD,77,J Hopkins,1984,
Arizona State University,"Rogerson, Richard D.",Prof,,PHD,84,Minnesota,2001,Edward Rondthaler Professor
Arizona State University,"Santos, Manuel",Prof,,PHD,84,Chicago,1999,Bank One Professor
Arizona State University,"Schlee, Edward E.",Prof,,PHD,88,Illinois,1990,
Arizona State University,"Zhou, Lin",Prof,CF,PHD,89,Princeton,2001,Lincoln Professor
Arizona State University,"Ahn, Seung C.",Assoc,,PHD,90,Mich St,1990,
Arizona State University,"Reffett, Kevin",Assoc,,PHD,90,Purdue,1995,
Arizona State University,"Winkelman, Richard D.",Assoc,,PHD,66,Illinois,1965,
Arizona State University,"Chade, Hector",Asst,,PHD,96,Illinois,1997,
Arizona State University,"Datta, Manjira",Asst,,PHD,92,Cornell,1995,
University of Arkansas,"Williams, Doyle Z.",Dean,Atg,PHD,65,LSU,1993,
University of Arkansas,"Ziegler, Joseph A.",H-Pr,R,PHD,71,Notre Dm,1980,
University of Arkansas,"Britton, Charles R.",Prof,E,PHD,71,Iowa,1978,
University of Arkansas,"Curington, William P.",Prof,J,PHD,79,Syracuse,1989,
University of Arkansas,"Dixon, Bruce L.",Prof,TQ,PHD,76,Ca-Davis,1986,
University of Arkansas,"Gay, David E.",Prof,H,PHD,73,Tx A&M,1983,
University of Arkansas,"McKinnon, Thomas R.",Prof,NA,PHD,72,Miss,1981,
University of Arkansas,"Murray, Tracy W.",Prof,F,PHD,69,Mich St,1978,"Distinguished Professor & Chairholder, Phillips Petroleum Company Chair/IEB"
University of Arkansas,"Farmer, Amy F.",Assoc,DK,PHD,91,Duke,1999,
University of Arkansas,"Ferrier, Gary D.",Assoc,DC,PHD,88,N Carol,1993,
University of Arkansas,"Horowitz, Andrew W.",Assoc,OFD,PHD,89,Wisconsin,1998,
University of Arkansas,"Deck, Cary A.",Asst,,PHD,1,Arizona,2001,
University of Arkansas,"Kali, Raja",Asst,LOFD,PHD,96,Maryland,1999,
University of Arkansas,"Kuester, Dan",VAsst,,PHD,0,Missouri,2000,
University of Arkansas,"Mendez, Fabio",Asst,EOH,PHD,3,Tx A&M,2003,
University of Arkansas,"Reyes, Javier",Asst,F,PHD,2,Mich St,2002,
University of Arkansas,"Stapp, Robert B.",VAsst,,PHD,,Okla St,1996,
U of Arkansas at Little Rock,"Goolsby, William C.",Dean,Fnce,PHD,74,Wi-Milwa,7-96,
U of Arkansas at Little Rock,"Galchus, Kenneth",C-Pr,,PHD,70,Wash U,1976,
U of Arkansas at Little Rock,"Ford, Richard",Prof,,PHD,79,Arkansas,1981,
U of Arkansas at Little Rock,"Hall, John R. Jr.",Prof,,PHD,92,Indiana,,
U of Arkansas at Little Rock,"Lindeman, Bruce",Prof,,PHD,68,Duke,1975,
U of Arkansas at Little Rock,"Pickett, John C.",Prof,,PHD,70,Missouri,1986,
U of Arkansas at Little Rock,"Holland, Larry C.",Assoc,,PHD,96,Okla St,1995,
U of Arkansas at Little Rock,"Terry, Andy",Assoc,,PHD,89,Michigan,1989,
U of Arkansas at Little Rock,"Beard, David",Asst,,ABD,,LSU,2002,
U of Arkansas at Little Rock,"Cox, Richard",Asst,,PHD,0,Tennessee,2001,
U of Arkansas at Little Rock,"Elder, Erick",Asst,,PHD,97,Pittsburgh,8-96,
U of Arkansas at Little Rock,"Funk, Mark",Asst,,PHD,98,Ca-Davis,2003,
U of Arkansas at Little Rock,"Witkowski, Mark",Inst,,,,,,
U of Arkansas at Pine Bluff,"Grayson, Barbara A.",Dean$,,EDD,83,Okla St,1987,
U of Arkansas at Pine Bluff,"Shahjahan, Mirza",C-Pr,,PHD,,Bonn,,
